商店名稱,品項,菜單,價格
We Tea,我們的茶,紅茶,30
We Tea,我們的茶,綠茶,30
We Tea,我們的茶,青茶,30
We Tea,我們的茶,烏龍茶,30
We Tea,我們的茶,烏龍綠茶,30
We Tea,我們的奶茶,奶茶,40
We Tea,我們的奶茶,奶綠,40
We Tea,我們的奶茶,烏龍奶茶,40
We Tea,我們的奶茶,珍珠奶茶,50
We Tea,我們的奶茶,珍珠奶綠,50
We Tea,我們的奶茶,珍珠烏龍奶茶,50
We Tea,我們的奶茶,布丁奶茶,50
We Tea,我們的奶茶,仙草凍奶茶,50
We Tea,我們的奶茶,仙草凍奶綠,50
We Tea,我們的奶茶,仙草凍烏龍奶茶,50
We Tea,我們的鮮奶茶,紅茶拿鐵,50
We Tea,我們的鮮奶茶,綠茶拿鐵,50
We Tea,我們的鮮奶茶,烏龍拿鐵,50
We Tea,我們的鮮奶茶,珍珠紅茶拿鐵,60
We Tea,我們的鮮奶茶,珍珠烏龍拿鐵,60
We Tea,我們的鮮奶茶,珍珠綠茶拿鐵,60
We Tea,我們的鮮奶茶,布丁紅茶拿鐵,60
We Tea,我們的鮮奶茶,仙草凍紅茶拿鐵,60
We Tea,我們的鮮奶茶,仙草凍綠茶拿鐵,60
We Tea,我們的鮮奶茶,仙草凍烏龍拿鐵,60
We Tea,我們的特調,雙Q紅茶,50
We Tea,我們的特調,雙Q綠茶,50
We Tea,我們的特調,雙Q青茶,50
We Tea,我們的特調,多多綠茶,50
We Tea,我們的特調,鮮百香綠茶,40
We Tea,我們的特調,雙Q鮮百香綠茶,60
We Tea,我們的特調,鮮百香多多綠茶,55
We Tea,我們的特調,檸檬汁,40
We Tea,我們的特調,檸檬綠茶,50
We Tea,我們的特調,多多檸檬,55
We Tea,我們的精品系列,美式咖啡,40
We Tea,我們的精品系列,拿鐵咖啡,55
We Tea,我們的精品系列,熱可可,60
We Tea,冬瓜系列,冬瓜茶,35
We Tea,冬瓜系列,冬瓜綠茶,40
We Tea,冬瓜系列,冬瓜青茶,40
We Tea,冬瓜系列,冬瓜檸檬,50
We Tea,冬瓜系列,冬瓜鮮奶,60
We Tea,週三分享日活動專區,仙草凍奶茶2杯,75
We Tea,週三分享日活動專區,仙草凍奶綠2杯,75
We Tea,週三分享日活動專區,仙草凍烏龍奶茶2杯,75
We Tea,週三分享日活動專區,仙草凍紅茶拿鐵2杯,90
We Tea,週三分享日活動專區,仙草凍綠茶拿鐵2杯,90
We Tea,週三分享日活動專區,仙草凍烏龍拿鐵2杯,90
We Tea,新鮮果汁系列,新鮮西瓜汁,50
We Tea,新鮮果汁系列,西瓜鮮奶,65
We Tea,新鮮果汁系列,西瓜多多,65
